Indicator Name,Year,Value,Group
Adults (ages 15+) and children (ages 0-14) newly infected with HIV,1961,,Other Health Indicators
"Prevalence of HIV, male (% ages 15-24)",1961,,Other Health Indicators
"People using safely managed drinking water services, urban (% of urban population)",1961,,Demographics
"People using at least basic drinking water services, rural (% of rural population)",1961,,Demographics
"Mortality from CVD, cancer, diabetes or CRD between exact ages 30 and 70, male (%)",1961,,Mortality
"Mortality rate, under-5 (per 1,000 live births)",1961,36.2,Mortality
"Probability of dying among adolescents ages 15-19 years (per 1,000)",1961,,Mortality
"Cause of death, by non-communicable diseases (% of total)",1961,,Mortality
"Cause of death, by communicable diseases and maternal, prenatal and nutrition conditions (% of total)",1961,,Mortality
Number of deaths ages 5-9 years,1961,,Mortality
Prevalence of anemia among children (% of children ages 6-59 months),1961,,Other Health Indicators
"Proportion of time spent on unpaid domestic and care work, male (% of 24 hour day)",1961,,Other Health Indicators
"Population, total",1962,94933000.0,Demographics
Urban population,1962,61843154.0,Demographics
Rural population,1962,33089846.0,Demographics
"Population, female",1962,48735254.0,Demographics
Sex ratio at birth (male births per female births),1962,1.06,Other Health Indicators
Population growth (annual %),1962,0.929166208,Demographics
"Population, male",1962,46197746.0,Demographics
Age group distribution -male,1962,,Other Health Indicators
"Population ages 00-04, male (% of male population)",1962,0.843877268,Demographics
"Population ages 05-09, male (% of male population)",1962,3.288781183,Demographics
"Population ages 10-14, male (% of male population)",1962,4.488790075,Demographics
"Population ages 15-19, male (% of male population)",1962,4.997165362,Demographics
"Population ages 20-24, male (% of male population)",1962,8.535225587,Demographics
"Population ages 25-29, male (% of male population)",1962,9.453214312,Demographics
"Population ages 30-34, male (% of male population)",1962,65.64551506,Demographics
"Population ages 35-39, male (% of male population)",1962,10.20673161,Demographics
"Population ages 40-44, male (% of male population)",1962,8.909010578,Demographics
"Population ages 45-49, male (% of male population)",1962,29.09699029,Demographics
"Population ages 50-54, male (% of male population)",1962,8.496386293,Demographics
"Population ages 55-59, male (% of male population)",1962,9.013311637,Demographics
"Population ages 60-64, male (% of male population)",1962,0.991662838,Demographics
"Population ages 65-69, male (% of male population)",1962,2428844.0,Demographics
"Population ages 70-74, male (% of male population)",1962,2.536673667,Demographics
"Population ages 75-79, male (% of male population)",1962,3.879302987,Demographics
"Population ages 80 and above, male (% of male population)",1962,7.25688069,Demographics
age distribution female,1962,,Other Health Indicators
"Population ages 00-04, female (% of female population)",1962,8.701494226,Demographics
"Population ages 05-09, female (% of female population)",1962,5.330291033,Demographics
"Population ages 10-14, female (% of female population)",1962,62704611.0,Demographics
"Population ages 15-19, female (% of female population)",1962,1.869187288,Demographics
"Population ages 20-24, female (% of female population)",1962,32377863.0,Demographics
"Population ages 25-29, female (% of female population)",1962,10.95582645,Demographics
"Population ages 30-34, female (% of female population)",1962,17.0,Demographics
"Population ages 35-39, female (% of female population)",1962,,Demographics
"Population ages 40-44, female (% of female population)",1962,26576627.0,Demographics
"Population ages 45-49, female (% of female population)",1962,13134473.0,Demographics
"Population ages 50-54, female (% of female population)",1962,66.517549,Demographics
"Population ages 55-59, female (% of female population)",1962,5.953421692,Demographics
"Population ages 60-64, female (% of female population)",1962,6.613113764,Demographics
"Population ages 65-69, female (% of female population)",1962,68.63487805,Demographics
"Population ages 70-74, female (% of female population)",1962,,Demographics
"Population ages 75-79, female (% of female population)",1962,22.8,Demographics
"Population ages 80 and above, female (% of female population)",1962,,Demographics
Dependancy,1962,,Other Health Indicators
"Population ages 65 and above, female (% of female population)",1962,,Demographics
"Age dependency ratio, old (% of working-age population)",1962,,Demographics
"Population ages 0-14, female",1962,,Demographics
"Population ages 0-14, male (% of male population)",1962,,Demographics
"Population ages 0-14, total",1962,,Demographics
"Population ages 15-64, female",1962,,Demographics
"Population ages 15-64, male (% of male population)",1962,1.215589972,Demographics
"Population ages 15-64, total",1962,5651762.0,Demographics
Population ages 65 and above (% of total population),1962,3222918.0,Demographics
"Population ages 65 and above, female",1962,3.365008428,Demographics
"Population ages 65 and above, male",1962,4.825114835,Demographics
"Population ages 65 and above, total",1962,6.047797306,Demographics
"Survival to age 65, male (% of cohort)",1962,8.098263385,Longevity
"Life expectancy at birth, total (years)",1962,9.223306317,Longevity
"Mortality rate, infant, female (per 1,000 live births)",1962,9.708766123,Mortality
"Birth rate, crude (per 1,000 people)",1962,8.248845421,Other Health Indicators
Vitamin A supplementation coverage rate (% of children ages 6-59 months),1962,7.745989031,Other Health Indicators
Prevalence of undernourishment (% of population),1962,1.98,Demographics
Prevalence of severe food insecurity in the population (%),1962,28.0,Demographics
"Domestic private health expenditure per capita, PPP (current international $)",1962,137.378,Healthcare
External health expenditure per capita (current US$),1962,,Healthcare
"External health expenditure per capita, PPP (current international $)",1962,,Healthcare
Current health expenditure per capita (current US$),1962,,Healthcare
Completeness of birth registration (%),1962,,Other Health Indicators
"Completeness of birth registration, female (%)",1962,,Other Health Indicators
"Fertility rate, total (births per woman)",1962,,Other Health Indicators
"Mortality rate, infant, male (per 1,000 live births)",1962,,Mortality
"Mortality rate, adult, female (per 1,000 female adults)",1962,,Mortality
"Tuberculosis case detection rate (%, all forms)",1962,,Other Health Indicators
"Prevalence of severe wasting, weight for height, female (% of children under 5)",1962,,Other Health Indicators
"Suicide mortality rate, female (per 100,000 female population)",1962,,Demographics
"Prevalence of stunting, height for age, female (modeled estimate, % of children under 5)",1962,,Other Health Indicators
"Prevalence of overweight, weight for height, female (modeled estimate, % of children under 5)",1962,,Other Health Indicators
Diarrhea treatment (% of children under 5 receiving oral rehydration and continued feeding),1962,,Other Health Indicators
"Maternal mortality ratio (national estimate, per 100,000 live births)",1962,,Mortality
"Prevalence of underweight, weight for age, female (% of children under 5)",1962,,Other Health Indicators
Exclusive breastfeeding (% of children under 6 months),1962,,Other Health Indicators
"Prevalence of current tobacco use, males (% of male adults)",1962,,Other Health Indicators
Lifetime risk of maternal death (%),1962,,Mortality
Use of insecticide-treated bed nets (% of under-5 population),1962,,Demographics
"Nurses and midwives (per 1,000 people)",1962,,Healthcare
"Immunization, DPT (% of children ages 12-23 months)",1962,54281.0,Other Health Indicators
"Incidence of HIV, ages 15-24 (per 1,000 uninfected population ages 15-24)",1962,,Demographics
Children (ages 0-14) newly infected with HIV,1962,,Other Health Indicators
"Prevalence of HIV, female (% ages 15-24)",1962,,Other Health Indicators
Demand for family planning satisfied by modern methods (% of married women with demand for family planning),1962,,Other Health Indicators
